date_debut;date_fin;type_evenement;titre_activite;affluence_domaine;description;lieu;horaires;tarif_adultes_plein;tarif_reduit_supp;duree_estimee;adapte_enfants;adapte_pmr;url_source
30/09/2025;30/09/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);soutenue;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
01/10/2025;01/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
14/06/2025;12/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Événement;JARDINS MUSICAUX;Non applicable;LES JARDINS MUSICAUX 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Visite guidée;VISITE GUIDÉE - CHEZ LES FAVORITES DU ROI;Non applicable;Les favorites royales ont aussi fait l'histoire et la légende de Versailles.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Visite guidée;VISITE GUIDÉE - MARIE-ANTOINETTE EN PRIVÉ;Non applicable;La Reine fit aménager un petit appartement au rez-de-chaussée de la cour de Marbre, ces lieux, leurs mobiliers et objets d'art permettent d'évoquer le goût de la Reine.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Visite guidée;VISITE GUIDÉE - VERSAILLES FAKE NEWS;Non applicable;Versailles, royaume de la démesure, suscite encore fantasmes et légendes. Sous une forme ludique et interactive, cette visite tente de démêler le vrai du faux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Activité Famille;VISITE CONTÉE FAMILLE - L'INCROYABLE EXPLOIT DE SIRE ANANAS IER;Non applicable;1731, deux œilletons d'ananas arrivent à Versailles. Louis XV les confie avec soin à son jardinier et son assistante. Mais comment faire pousser des ananas à Versailles ?;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Ouverture Château 9h00;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;01/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
02/10/2025;02/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
14/06/2025;12/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Événement;JARDINS MUSICAUX;Non applicable;LES JARDINS MUSICAUX 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Visite guidée;QUAND LA RÉPUBLIQUE SIÉGEAIT À VERSAILLES;Non applicable;Lieu emblématique de la monarchie absolue, Versailles incarne aussi le berceau de la République française.;Non précisé;Non précisé;25.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Visite guidée;VISITE GUIDÉE - LIEUX CACHÉS;Non applicable;Portes dérobées, petits passages, appartements très privés... le château possède des lieux "cachés" où les souverains aimaient se retirer.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Ouverture Château 10h30;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;02/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
03/10/2025;03/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
14/06/2025;12/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;03/10/2025;Événement;JARDINS MUSICAUX;Non applicable;LES JARDINS MUSICAUX 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;03/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;03/10/2025;Visite guidée;VISITE GUIDÉE - UN PRÉSIDENT CHEZ LE ROI;Non applicable;Parcourez les appartements de De Gaulle et découvrez comment, sous sa présidence, le Grand Trianon devint palais de la République.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;03/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;03/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
